STATE_CODE,STATE_CODE_EXP,SHRP_ID,VWS_ID,YEAR,MEAN_ANN_TEMP_AVG,FREEZE_INDEX_YR,FREEZE_THAW_YR
23,Maine,1012,231012,2004,7.19999980926514,632,105
23,Maine,1012,231012,2005,7.5,624,91
23,Maine,1012,231012,2006,8.80000019073486,325,103
23,Maine,1012,231012,2007,7.19999980926514,665,93
23,Maine,1012,231012,2008,7.59999990463257,520,109
23,Maine,1012,231012,1951,7.80000019073486,475,106
23,Maine,1012,231012,1952,8.19999980926514,368,113
23,Maine,1012,231012,1953,8.80000019073486,308,91
23,Maine,1012,231012,1954,7.40000009536743,480,104
23,Maine,1012,231012,1955,7.40000009536743,636,90
23,Maine,1012,231012,1956,6.69999980926514,483,118
23,Maine,1012,231012,1957,7.69999980926514,518,105
23,Maine,1012,231012,1958,6.69999980926514,594,95
23,Maine,1012,231012,1959,7.30000019073486,613,104
23,Maine,1012,231012,1960,7.40000009536743,503,108
23,Maine,1012,231012,1961,7.5,594,92
23,Maine,1012,231012,1962,6.59999990463257,646,109
23,Maine,1012,231012,1963,7,703,89
23,Maine,1012,231012,1964,7.09999990463257,515,111
23,Maine,1012,231012,1965,6.90000009536743,551,116
23,Maine,1012,231012,1966,7.40000009536743,481,116
23,Maine,1012,231012,1967,6.69999980926514,640,98
23,Maine,1012,231012,1968,6.90000009536743,707,83
23,Maine,1012,231012,1969,7.80000019073486,487,105
23,Maine,1012,231012,1970,7.40000009536743,737,77
23,Maine,1012,231012,1971,7.30000019073486,670,111
23,Maine,1012,231012,1972,6.5,670,104
23,Maine,1012,231012,1973,8.30000019073486,416,103
23,Maine,1012,231012,1974,7.19999980926514,503,119
23,Maine,1012,231012,1975,7.59999990463257,562,109
23,Maine,1012,231012,1976,6.69999980926514,744,102
23,Maine,1012,231012,1977,7.19999980926514,633,98
23,Maine,1012,231012,1978,6.69999980926514,677,93
23,Maine,1012,231012,1979,7.90000009536743,542,82
23,Maine,1012,231012,1980,7.09999990463257,678,104
23,Maine,1012,231012,1981,7.90000009536743,510,104
23,Maine,1012,231012,1982,7.09999990463257,685,96
23,Maine,1012,231012,1983,8.19999980926514,426,99
23,Maine,1012,231012,1984,7.80000019073486,503,100
23,Maine,1012,231012,1985,7.30000019073486,624,94
23,Maine,1012,231012,1986,7.5,479,118
23,Maine,1012,231012,1987,7.80000019073486,505,110
23,Maine,1012,231012,1988,7.80000019073486,552,106
23,Maine,1012,231012,1989,7.19999980926514,734,95
23,Maine,1012,231012,1990,9,316,110
23,Maine,1012,231012,1991,8.69999980926514,451,103
23,Maine,1012,231012,1992,7.5,455,114
23,Maine,1012,231012,1993,7.80000019073486,610,108
23,Maine,1012,231012,1994,7.90000009536743,673,89
23,Maine,1012,231012,1995,7.80000019073486,542,109
23,Maine,1012,231012,1996,7.5,560,96
23,Maine,1012,231012,1997,7.09999990463257,524,114
23,Maine,1012,231012,1998,8.80000019073486,312,103
23,Maine,1012,231012,1999,8.80000019073486,408,111
23,Maine,1012,231012,2000,7.19999980926514,591,86
23,Maine,1012,231012,2001,8.10000038146973,496,117
23,Maine,1012,231012,2002,8.10000038146973,359,132
23,Maine,1012,231012,2003,7,724,86
23,Maine,1012,231012,2009,7.19999980926514,621,92
23,Maine,1012,231012,2010,9.19999980926514,323,93
23,Maine,1012,231012,2011,8.19999980926514,502,98
23,Maine,1012,231012,2012,8.80000019073486,352,110
26,Michigan,1001,261001,2005,7.30000019073486,731,99
26,Michigan,1001,261001,2006,8,356,132
26,Michigan,1001,261001,2007,7.40000009536743,749,85
26,Michigan,1001,261001,2008,6.19999980926514,812,104
26,Michigan,1001,261001,2009,6,795,103
26,Michigan,1001,261001,2010,8,558,104
26,Michigan,1001,261001,2011,6.90000009536743,697,114
26,Michigan,1001,261001,2012,8.30000019073486,389,139
26,Michigan,1001,261001,1985,6.09999990463257,852,88
26,Michigan,1001,261001,1986,6.69999980926514,677,106
26,Michigan,1001,261001,1987,7.90000009536743,464,131
26,Michigan,1001,261001,1988,6.59999990463257,800,121
26,Michigan,1001,261001,1989,5.59999990463257,967,101
26,Michigan,1001,261001,1990,7.40000009536743,492,135
26,Michigan,1001,261001,1991,7.40000009536743,653,102
26,Michigan,1001,261001,1992,5.90000009536743,549,135
26,Michigan,1001,261001,1993,6.09999990463257,725,112
26,Michigan,1001,261001,1994,6.30000019073486,904,107
26,Michigan,1001,261001,1995,6.59999990463257,777,96
26,Michigan,1001,261001,1996,5.59999990463257,899,112
26,Michigan,1001,261001,1997,5.90000009536743,656,122
26,Michigan,1001,261001,1998,8.5,406,117
26,Michigan,1001,261001,1999,7.40000009536743,585,119
26,Michigan,1001,261001,2000,6.80000019073486,738,98
26,Michigan,1001,261001,2001,7.90000009536743,464,103
26,Michigan,1001,261001,2002,7.19999980926514,517,144
26,Michigan,1001,261001,2003,6.30000019073486,794,98
26,Michigan,1001,261001,2004,6.5,752,103
26,Michigan,1001,261001,1971,6.90000009536743,747,107
26,Michigan,1001,261001,1972,5.59999990463257,853,111
26,Michigan,1001,261001,1973,7.80000019073486,568,87
26,Michigan,1001,261001,1974,6.19999980926514,686,124
26,Michigan,1001,261001,1975,6.90000009536743,684,104
26,Michigan,1001,261001,1976,5.59999990463257,917,117
26,Michigan,1001,261001,1977,6.5,925,96
26,Michigan,1001,261001,1978,5.40000009536743,996,91
26,Michigan,1001,261001,1979,5.59999990463257,918,100
26,Michigan,1001,261001,1980,5.40000009536743,916,107
26,Michigan,1001,261001,1981,6.5,668,120
26,Michigan,1001,261001,1982,6.09999990463257,852,92
26,Michigan,1001,261001,1983,6.69999980926514,658,112
26,Michigan,1001,261001,1984,6.5,732,112
26,Michigan,1001,261001,1970,6.30000019073486,910,86
26,Michigan,1010,261010,2011,9,506,79
26,Michigan,1010,261010,2012,10.5,219,107
26,Michigan,1010,261010,1958,7.80000019073486,654,93
26,Michigan,1010,261010,1959,8.39999961853027,644,96
26,Michigan,1010,261010,1960,8,632,74
26,Michigan,1010,261010,1961,8.69999980926514,456,99
26,Michigan,1010,261010,1962,7.69999980926514,693,94
26,Michigan,1010,261010,1963,7.90000009536743,839,74
26,Michigan,1010,261010,1964,9.19999980926514,397,96
26,Michigan,1010,261010,1965,8.5,480,94
26,Michigan,1010,261010,1966,8.10000038146973,538,91
26,Michigan,1010,261010,1967,8.10000038146973,510,86
26,Michigan,1010,261010,1968,8.69999980926514,540,81
26,Michigan,1010,261010,1969,8.39999961853027,486,90
26,Michigan,1010,261010,1970,8.60000038146973,623,70
26,Michigan,1010,261010,1971,9.10000038146973,491,83
26,Michigan,1010,261010,1972,7.80000019073486,536,96
26,Michigan,1010,261010,1973,9.69999980926514,378,73
26,Michigan,1010,261010,1974,8.60000038146973,428,102
26,Michigan,1010,261010,1975,9.30000019073486,387,95
26,Michigan,1010,261010,1976,8,639,96
26,Michigan,1010,261010,1977,8.60000038146973,694,64
26,Michigan,1010,261010,1978,7.80000019073486,724,83
26,Michigan,1010,261010,1979,8.19999980926514,658,76
26,Michigan,1010,261010,1980,7.80000019073486,594,79
26,Michigan,1010,261010,1981,8.30000019073486,487,94
26,Michigan,1010,261010,1982,8.39999961853027,624,76
26,Michigan,1010,261010,1983,8.89999961853027,457,88
26,Michigan,1010,261010,1984,8.69999980926514,521,86
26,Michigan,1010,261010,1985,8.60000038146973,585,69
26,Michigan,1010,261010,1986,8.80000019073486,470,99
26,Michigan,1010,261010,1987,10.1000003814697,273,101
26,Michigan,1010,261010,1988,8.80000019073486,545,89
26,Michigan,1010,261010,1989,7.90000009536743,656,91
26,Michigan,1010,261010,1990,9.5,275,113
26,Michigan,1010,261010,1991,9.5,423,83
26,Michigan,1010,261010,1992,8.10000038146973,333,113
26,Michigan,1010,261010,1993,7.90000009536743,517,95
26,Michigan,1010,261010,1994,8,689,88
26,Michigan,1010,261010,1995,8.19999980926514,611,89
26,Michigan,1010,261010,1996,7.5,642,96
26,Michigan,1010,261010,1997,7.80000019073486,416,116
26,Michigan,1010,261010,1998,10.6000003814697,226,84
26,Michigan,1010,261010,1999,9.19999980926514,454,98
26,Michigan,1010,261010,2000,8.39999961853027,621,74
26,Michigan,1010,261010,2001,9.60000038146973,331,94
26,Michigan,1010,261010,2002,9.30000019073486,298,126
26,Michigan,1010,261010,2003,8.19999980926514,601,80
26,Michigan,1010,261010,2004,8.39999961853027,600,81
26,Michigan,1010,261010,2005,9,562,83
26,Michigan,1010,261010,2006,9.60000038146973,220,107
26,Michigan,1010,261010,2007,9.10000038146973,535,76
26,Michigan,1010,261010,2008,8.30000019073486,539,95
26,Michigan,1010,261010,2009,8,573,80
26,Michigan,1010,261010,2010,9.60000038146973,465,81
27,Minnesota,1029,271029,1970,5.5,1284,74
27,Minnesota,1029,271029,1971,5.5,1232,72
27,Minnesota,1029,271029,1972,4.19999980926514,1492,82
27,Minnesota,1029,271029,1973,6.90000009536743,900,97
27,Minnesota,1029,271029,1974,5.80000019073486,1018,106
27,Minnesota,1029,271029,1975,5.5,1272,67
27,Minnesota,1029,271029,1976,5.5,1342,99
27,Minnesota,1029,271029,1977,5.80000019073486,1309,60
27,Minnesota,1029,271029,1978,5.5,1376,63
27,Minnesota,1029,271029,1979,4.40000009536743,1328,93
27,Minnesota,1029,271029,1980,6.09999990463257,1093,90
27,Minnesota,1029,271029,1981,6.5,857,95
27,Minnesota,1029,271029,1982,5.19999980926514,1308,69
